combined_rule,configuration_id,event_matching_tolerance,feature_set,fit_fraction,isolation_contamination,isolation_estimators,isolation_validation_quantile,method,near_constant_epsilon,normal_validation_false_alerts_per_1000,normal_validation_point_fpr,persistence_length,protocol_version,random_state,robust_z_multiplier,rolling_window,selection_score,synthetic_validation_event_recall,synthetic_validation_f1_std_across_channels,synthetic_validation_point_f1,synthetic_validation_point_precision,synthetic_validation_point_recall
or,A01,2,raw,0.7,0.02,100,0.01,threshold,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.474487306,1.0,0.040137,0.478501,1.0,0.314494
or,A01,2,raw,0.7,0.02,100,0.01,isolation_forest,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.267744892,0.166667,0.368091,0.304554,1.0,0.179631
or,A01,2,raw,0.7,0.02,100,0.01,combined,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.579714313,1.0,0.198157,0.59953,1.0,0.428092
or,A02,2,rolling,0.7,0.02,100,0.01,threshold,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.474487306,1.0,0.040137,0.478501,1.0,0.314494
or,A02,2,rolling,0.7,0.02,100,0.01,isolation_forest,1e-08,0.224115,0.000672,5,astra-phase1c-v2,42,6.0,10,0.325845552,0.5,0.366642,0.364302,1.0,0.22272
or,A02,2,rolling,0.7,0.02,100,0.01,combined,1e-08,0.224115,0.000672,5,astra-phase1c-v2,42,6.0,10,0.624379936,1.0,0.190138,0.645186,1.0,0.476217
or,A03,2,difference,0.7,0.02,100,0.01,threshold,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.474487306,1.0,0.040137,0.478501,1.0,0.314494
or,A03,2,difference,0.7,0.02,100,0.01,isolation_forest,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.0,0.0,0.0,0.0,0.0,0.0
or,A03,2,difference,0.7,0.02,100,0.01,combined,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.477562909,1.0,0.035251,0.481088,1.0,0.316732
or,A04,2,combined,0.7,0.02,100,0.01,threshold,1e-08,0.0,0.0,5,astra-phase1c-v2,42,6.0,10,0.474487306,1.0,0.040137,0.478501,1.0,0.314494
or,A04,2,combined,0.7,0.02,100,0.01,isolation_forest,1e-08,0.224115,0.000224,5,astra-phase1c-v2,42,6.0,10,0.024047999,0.333333,0.037378,0.028682,1.0,0.01455
