best_method,channel,detected_events,evaluated_observations,evaluated_runs,event_recall,false_alerts_per_1000_observations,false_confirmed_events,false_positive_observations,ground_truth_events,maximum_detection_delay_observations,mean_detection_delay_observations,median_detection_delay_observations,method,missed_events,mission,point_f1,point_false_positive_rate,point_precision,point_recall,processing_time_ms
threshold,A-1,0,8640,1,0.0,0.0,0,0,1,,,,threshold,1,SMAP,0.0,0.0,0.0,0.0,0.958
threshold,A-1,0,8640,1,0.0,0.0,0,0,1,,,,isolation_forest,1,SMAP,0.0,0.0,0.0,0.0,191.592
threshold,A-1,0,8640,1,0.0,0.0,0,0,1,,,,combined,1,SMAP,0.0,0.0,0.0,0.0,193.382
isolation_forest,A-2,0,7914,1,0.0,0.0,0,0,1,,,,threshold,1,SMAP,0.0,0.0,0.0,0.0,1.016
isolation_forest,A-2,2,7914,1,1.0,0.126358,1,0,1,18,18.0,18.0,isolation_forest,0,SMAP,0.134454,0.0,1.0,0.072072,484.424
isolation_forest,A-2,2,7914,1,1.0,0.126358,1,0,1,18,18.0,18.0,combined,0,SMAP,0.134454,0.0,1.0,0.072072,488.723
isolation_forest,A-3,0,8205,1,0.0,0.0,0,0,1,,,,threshold,1,SMAP,0.0,0.0,0.0,0.0,0.913
isolation_forest,A-3,11,8205,1,1.0,1.218769,10,32,1,62,62.0,62.0,isolation_forest,0,SMAP,0.175732,0.003991,0.396226,0.112903,498.003
isolation_forest,A-3,11,8205,1,1.0,1.218769,10,32,1,62,62.0,62.0,combined,0,SMAP,0.175732,0.003991,0.396226,0.112903,500.698
combined,C-1,7,2264,1,0.5,2.650177,6,136,2,39,39.0,39.0,threshold,1,MSL,0.171429,0.069672,0.235955,0.134615,2.913
combined,C-1,8,2264,1,0.5,3.091873,7,36,2,4,4.0,4.0,isolation_forest,1,MSL,0.123989,0.018443,0.389831,0.073718,351.667
combined,C-1,7,2264,1,0.5,2.650177,6,171,2,36,36.0,36.0,combined,1,MSL,0.256318,0.087602,0.293388,0.227564,356.021
threshold,C-2,0,2051,1,0.0,0.0,0,0,2,,,,threshold,2,MSL,0.0,0.0,0.0,0.0,1.152
threshold,C-2,0,2051,1,0.0,0.0,0,0,2,,,,isolation_forest,2,MSL,0.0,0.0,0.0,0.0,293.21
threshold,C-2,0,2051,1,0.0,0.0,0,0,2,,,,combined,2,MSL,0.0,0.0,0.0,0.0,295.154
threshold,D-14,0,2625,1,0.0,0.0,0,0,2,,,,threshold,2,MSL,0.0,0.0,0.0,0.0,0.475
threshold,D-14,0,2625,1,0.0,0.0,0,0,2,,,,isolation_forest,2,MSL,0.0,0.0,0.0,0.0,280.191
threshold,D-14,0,2625,1,0.0,0.0,0,0,2,,,,combined,2,MSL,0.0,0.0,0.0,0.0,281.231
